name	idx	computer_name	relay	faucet_type	default_duration	counter
east fence	2	dani	0	NumatoFaucet	20	none
east drips	1	dani	1	NumatoFaucet	45	none
north sprinklers	3	dani	2	NumatoFaucet	30	main-garden
north matazim	4	dani	3	NumatoFaucet	30	main-garden
north pingpong	5	dani	4	NumatoFaucet	30	main-garden
south pingpong	6	dani	5	NumatoFaucet	30	main-garden
south pool	7	dani	6	NumatoFaucet	30	main-garden
main drips	8	dani	7	NumatoFaucet	120	main-garden
tapuz pecan	9	dani	8	NumatoFaucet	30	main-garden
tapuz satsuma	10	dani	9	NumatoFaucet	30	main-garden
between houses	11	dani	10	NumatoFaucet	45	main-garden
eyal entrance drips	12	dani	11	NumatoFaucet	60	main-garden
pecan	13	dani	12	NumatoFaucet	120	main-garden
dani rose drips	14	dani	13	NumatoFaucet	150	main-garden
studio drips	15	dani	14	NumatoFaucet	25	main-garden
afarsermon drips	16	dani	15	NumatoFaucet	60	main-garden
ziva roses sprinkler	21	amnon	1	NumatoFaucet	25	main-garden
ziva roses drips	23	amnon	3	NumatoFaucet	150	main-garden
ziva entrance drips	24	amnon	4	NumatoFaucet	120	main-garden
cypress	25	amnon	5	NumatoFaucet	25	main-garden
anona drips	26	amnon	6	NumatoFaucet	105	main-garden
japanese sprinkler	27	amnon	7	NumatoFaucet	15	main-garden
entrance flowers	28	amnon	8	NumatoFaucet	10	main-garden
outside west drips	35	amnon	9	NumatoFaucet	30	main-garden
palms	36	amnon	10	NumatoFaucet	30	main-garden
ziva north sprinklers	33	amnon	11	NumatoFaucet	30	main-garden
ariza drips	34	amnon	12	NumatoFaucet	30	main-garden
